image_path,etykieta,left_label,right_label,show_label,proporcja_zdjecia,typ_etykiety,warunek,kierunek,thisN,thisTrialN,thisRepN,spacja_przerwa.keys,suwak_badanie.response,suwak_badanie.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,instrukcja.started,spacja_instr.started,text_instr.started,instrukcja.stopped,spacja_instr.keys,spacja_instr.rt,spacja_instr.duration,demo_suwaka.started,suwak_info.started,spacja_suwak.started,demo_suwaka.stopped,spacja_suwak.keys,spacja_suwak.rt,spacja_suwak.duration,info_trening.started,spacja_trening.started,proba_testowa.started,info_trening.stopped,spacja_trening.keys,spacja_trening.rt,spacja_trening.duration,trial_trening.started,pilot_fiksacja1.started,pilot_fiksacja1.stopped,pilot_label_text.started,pilot_label_text.stopped,pilot_fiksacja2.started,pilot_fiksacja2.stopped,pilot_stim_image.started,pilot_suwak.started,pilot_pytanie.started,pilot_lewa_etykieta.started,pilot_prawa_etykieta.started,pilot_stim_image.stopped,trial_trening.stopped,pilot_suwak.response,pilot_suwak.rt,koniec_treningu.started,spacja_start.started,start_badania.started,koniec_treningu.stopped,spacja_start.keys,spacja_start.rt,spacja_start.duration,przerwa.started,przerwa.stopped,trials.spacja_przerwa.keys,trial.started,label_text.started,label_text.stopped,fiksacja2.started,fiksacja2.stopped,stim_image.started,stim_image.stopped,suwak_badanie.started,lewa_etykieta.started,prawa_etykieta.started,pytanie.started,trial.stopped,trials.suwak_badanie.response,trials.suwak_badanie.rt,oddzielenie_triali.started,text.started,text.stopped,oddzielenie_triali.stopped,participant,session,date,expName,expVersion,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,,,,True,0.5787510999944061,0.9893681999528781,0.9893681999528781,1.708199799992144,space,0.701422700076364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h58.10.063,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h58.11.432139 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7086641999194399,1.7231488999677822,1.7231488999677822,1.830169799970463,space,0.09692279994487762,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h58.10.063,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h58.11.432139 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8312353999353945,1.8405461999354884,1.8405461999354884,1.9430542999180034,space,0.09543989994563162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h58.10.063,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h58.11.432139 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9643114999635145,1.9713072999147698,2.471650999970734,2.654888699995354,5.662766799912788,5.845833699917421,6.360748399980366,6.543998399982229,7.45728779991623,7.45728779991623,7.45728779991623,7.45728779991623,7.45728779991623,8.174580899998546,41.25,6.204131200094707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h58.10.063,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h58.11.432139 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.175429299939424,8.190885499934666,8.190885499934666,9.258168699918315,space,1.051630700007081,None,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-04-25_19h58.10.063,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h58.11.432139 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\SZ 50,50\1K SZ 5050.png",Model sztucznej inteligencji wykrył w tej twarzy 72% strachu .,strach,złość,3,50/50,Procentowa AI,n/d,Sugestia Lewo strach,0,0,0,None,29.25,6.5125855000223964,0,0,0,0,9.368678099941462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.293165999930352,9.293200899963267,None,9.347381299943663,9.368678099941462,12.377311200019903,12.494658899959177,12.743433699943125,12.943418900016695,14.17200389993377,14.17200389993377,14.17200389993377,14.17200389993377,14.17200389993377,15.871096799965017,29.25,6.5125855000223964,15.872139499988407,15.884607299929485,16.233095799922012,16.17054660001304,pilot,001,2026-04-25_19h58.10.063,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h58.11.432139 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\OZ 80,20\1K OZ 8020.png",Poprzedni badani wykryli w tej twarzy oczekiwanie.,zaskoczenie,oczekiwanie,3,80/20 oczekiwanie,Kategorialna Ludzie,Zgodny,Dominacja Prawo oczekiwanie,1,1,0,None,21.000000000000014,6.205871100071818,0,1,1,1,16.233095799922012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.171104199951515,16.171127300010994,None,16.221934899920598,16.233095799922012,19.24191619991325,19.374815299990587,19.624974599923007,19.824510299949907,21.036777999950573,21.02054900000803,21.02054900000803,21.02054900000803,21.02054900000803,22.436212499975227,21.000000000000014,6.205871100071818,22.436944699962623,22.4500111999223,,22.73750960000325,pilot,001,2026-04-25_19h58.10.063,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h58.11.432139 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\RS 50,50\1K RS 5050.png",test,radość,smutek,0,50/50,Kontrolna,kontrolny,Brak,2,2,0,None,21.000000000000014,3.9517050998983905,0,2,2,2,22.79903130000457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.738621399970725,22.738684899988584,None,22.791972999926656,22.79903130000457,22.79903130000457,22.948549399967305,23.198036000016145,23.397635099943727,24.610026099951938,24.593949800007977,24.593949800007977,24.593949800007977,24.593949800007977,26.757028199965134,21.000000000000014,3.9517050998983905,26.758183099911548,26.7719277999131,,27.05937049991917,pilot,001,2026-04-25_19h58.10.063,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h58.11.432139 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 80,20\ZW 80,20\1K ZW 8020.png",Poprzedni badani wykryli w tej twarzy 20% zaufania.,zaufanie,wstręt,3,80/20 zaufania,Procentowa Ludzie,Niezgodny,Dominacja Lewo zaufanie,3,3,0,None,21.000000000000014,6.65833779994864,0,3,3,3,27.13742339995224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.060489199939184,27.06055389996618,None,27.12060719996225,27.13742339995224,30.14557249995414,30.262120999977924,30.528002299950458,30.710923100006767,31.924233799916692,31.924233799916692,31.924233799916692,31.924233799916692,31.924233799916692,33.78805640002247,21.000000000000014,6.65833779994864,33.788639699923806,33.80376289994456,,34.10384819994215,pilot,001,2026-04-25_19h58.10.063,untitled_FINAL_NEWEST,,2026.1.1,2026-04-25 19h58.11.432139 +0200,
"C:\Users\julia\OneDrive\Pulpit\percepcja_psychopy\photos\Twarze 50,50\ZO 50,50\1K ZO 5050.png",Poprzedni badani wykryli w tej twarzy 75% oczekiwania.,zaskoczenie,oczekiwanie,3,50/50 ,Procentowa Ludzie,n/d,Sugestia Prawo oczekiwanie,4,4,0,,,,0,4,4,4,34.16856129991356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.10442609991878,34.104457999928854,None,34.15076829993632,34.16856129991356,37.176789599936455,37.30973590002395,37.558824299951084,37.75827270001173,,,,,,,,,,,,,,,,,,,,
